event,name
9,R3 E3
9,R3 F1
9,R3 F2
9,R3 F3
9,R3 G1
9,R3 G2
9,R3 G3
9,R3 H1
9,R3 H2
9,R3 H3
9,R3 I1
9,R3 I2
9,R3 I3
9,R3 J1
9,R3 J2
9,R3 J3
9,R3 K1
9,R3 K2
9,R3 K3
9,R3 L1
9,R3 L2
9,R3 L3
9,R4 A1
9,R4 A2
9,R4 A3
9,R4 B1
9,R4 B2
9,R4 B3
9,R4 C1
9,R4 C2
9,R4 C3
9,R4 D1
9,R4 D2
9,R4 D3
9,R4 E1
9,R4 E2
9,R4 E3
9,R4 F1
9,R4 F2
9,R4 F3
9,R4 G1
9,R4 G2
9,R4 G3
9,R4 H1
9,R4 H2
9,R4 H3
9,R4 I1
9,R4 I2
9,R4 I3
9,R4 J1
9,R4 J2
9,R4 J3
9,R4 K1
9,R4 K2
9,R4 K3
9,R4 L1
9,R4 L2
9,R4 L3
9,Semi A1
9,Semi A2
9,Semi A3
9,Semi B1
9,Semi B2
9,Semi B3
9,Semi C1
9,Semi C2
9,Semi C3
9,Finals A1
9,Finals A2
9,Finals A3
10,T1 G1
10,T1 G2
10,T1 G3
10,T1 G4
10,T1 G5
10,T1 G6
10,T1 G7
10,T1 G8
10,T1 G9
10,T1 G10
10,T1 G11
10,T1 G12
10,T1 G13
10,T1 G14
10,T1 G15
10,T1 G16
10,T1 G17
10,T1 G18
10,T1 G19
10,T1 G20
10,T1 G21
10,T1 G22
10,T1 G23
10,T1 G24
10,T1 G25
10,T1 G26
10,T1 G27
10,T1 G28
10,T1 G29
10,T1 G30
10,T1 G31
10,T1 G32
10,T1 G33
10,T1 G34
10,T1 G35
10,T1 G36
10,T1 G37
10,T1 G38
10,T1 G39
10,T1 G40
10,T1 G41
10,T1 G42
10,T1 G43
10,T1 G44
10,T1 G45
10,T1 G46
10,T1 G47
10,T1 G48
10,T1 G49
10,T1 G50
10,T1 G51
10,T1 G52
10,T1 G53
10,T1 G54
10,T1 G55
10,T1 G56
10,T1 G57
10,T1 G58
10,T1 G59
10,T1 G60
10,T2 G1
10,T2 G2
10,T2 G3
10,T2 G4
10,T2 G5
10,T2 G6
10,T2 G7
10,T2 G8
10,T2 G9
10,T2 G10
10,T2 G11
10,T2 G12
10,T2 G13
10,T2 G14
10,T2 G15
10,T2 G16
10,T2 G17
10,T2 G18
10,T2 G19
10,T2 G20
10,T2 G21
10,T2 G22
10,T2 G23
10,T2 G24
10,T2 G25
10,T2 G26
10,T2 G27
10,T2 G28
10,T2 G29
10,T2 G30
10,T2 G31
10,T2 G32
10,T2 G33
10,T2 G34
10,T2 G35
10,T2 G36
10,T2 G37
10,T2 G38
10,T2 G39
10,T2 G40
10,T2 G41
10,T2 G42
10,T2 G43
10,T2 G44
10,T2 G45
10,T2 G46
10,T2 G47
10,T2 G48
10,T2 G49
10,T2 G50
10,T2 G51
10,T2 G52
10,T2 G53
10,T2 G54
10,T2 G55
10,T2 G56
10,T2 G57
10,T2 G58
10,T2 G59
10,T2 G60
10,T2 G61
10,T2 G62
10,T2 G63
10,T2 G64
10,T2 G65
10,T2 G66
10,T2 G67
10,T2 G68
10,T2 G69
10,T2 G70
10,T2 G71
10,T2 G72
10,T2 G73
10,T2 G74
10,T2 G75
10,T2 G76
10,T2 G77
10,T2 G78
10,T2 G79
10,T2 G80
10,T2 G81
10,T2 G82
10,T2 G83
10,T2 G84
10,T3 G1
10,T3 G2
10,T3 G3
10,T3 G4
10,T3 G5
10,T3 G6
10,T3 G7
10,T3 G8
10,T3 G9
10,T3 G10
10,T3 G11
10,T3 G12
10,T3 G13
10,T3 G14
10,T3 G15
10,T3 G16
10,T3 G17
10,T3 G18
10,T3 G19
10,T3 G20
10,T3 G21
10,T3 G22
10,T3 G23
10,T3 G24
10,T3 G25
10,T3 G26
10,T3 G27
10,T3 G28
10,T3 G29
10,T3 G30
10,T3 G31
10,T3 G32
10,T3 G33
10,T3 G34
10,T3 G35
10,T3 G36
10,T3 G37
10,T3 G38
10,T3 G39
10,T3 G40
10,T3 G41
10,T3 G42
10,T3 G43
10,T3 G44
10,T3 G45
10,T3 G46
10,T3 G47
10,T3 G48
10,T3 G49
10,T3 G50
10,T3 G51
10,T3 G52
10,T3 G53
10,T3 G54
10,T3 G55
10,T3 G56
10,T3 G57
10,T3 G58
10,T3 G59
10,T3 G60
10,T3 G61
10,T3 G62
10,T3 G63
10,T3 G64
10,T3 G65
10,T3 G66
10,T3 G67
10,T3 G68
10,T3 G69
10,T3 G70
10,T3 G71
10,T3 G72
10,T3 G73
10,T3 G74
10,T3 G75
10,T3 G76
10,T3 G77
10,T3 G78
10,T3 G79
10,T3 G80
10,T3 G81
10,T3 G82
10,T3 G83
10,T3 G84
10,T4 G1
10,T4 G2
10,T4 G3
10,T4 G4
10,T4 G5
10,T4 G6
10,T4 G7
10,T4 G8
10,T4 G9
10,T4 G10
10,T4 G11
10,T4 G12
10,T4 G13
10,T4 G14
10,T4 G15
10,T4 G16
10,T4 G17
10,T4 G18
10,T4 G19
10,T4 G20
10,T4 G21
10,T4 G22
10,T4 G23
10,T4 G24
10,T4 G25
10,T4 G26
10,T4 G27
10,T4 G28
10,T4 G29
10,T4 G30
10,T4 G31
10,T4 G32
10,T4 G33
10,T4 G34
10,T4 G35
10,T4 G36
10,T4 G37
10,T4 G38
10,T4 G39
10,T4 G40
10,T4 G41
10,T4 G42
10,T4 G43
10,T4 G44
10,T4 G45
10,T4 G46
10,T4 G47
10,T4 G48
10,T4 G49
10,T4 G50
10,T4 G51
10,T4 G52
10,T4 G53
10,T4 G54
10,T4 G55
10,T4 G56
10,T4 G57
10,T4 G58
10,T4 G59
10,T4 G60
11,R1 A1
11,R1 A2
11,R1 B1
11,R1 B2
11,R1 C1
11,R1 C2
11,R1 D1
11,R1 D2
11,R1 E1
11,R1 E2
11,R1 F1
11,R1 F2
11,R1 G1
11,R1 G2
11,R1 H1
11,R1 H2
11,R1 I1
11,R1 I2
11,R1 J1
11,R1 J2
11,R1 K1
11,R1 K2
11,R1 L1
11,R1 L2
11,R2 A1
11,R2 A2
11,R2 B1
11,R2 B2
11,R2 C1
11,R2 C2
11,R2 D1
11,R2 D2
11,R2 E1
11,R2 E2
11,R2 F1
11,R2 F2
11,R2 G1
11,R2 G2
11,R2 H1
11,R2 H2
11,R2 I1
11,R2 I2
11,R2 J1
11,R2 J2
11,R2 K1
11,R2 K2
11,R2 L1
11,R2 L2
11,R3 A1
11,R3 A2
11,R3 B1
11,R3 B2
11,R3 C1
11,R3 C2
11,R3 D1
11,R3 D2
11,R3 E1
11,R3 E2
11,R3 F1
11,R3 F2
11,R3 G1
11,R3 G2
11,R3 H1
11,R3 H2
11,R3 I1
11,R3 I2
11,R3 J1
11,R3 J2
11,R3 K1
11,R3 K2
11,R3 L1
11,R3 L2
11,R4 A1
11,R4 A2
11,R4 B1
11,R4 B2
11,R4 C1
11,R4 C2
11,R4 D1
11,R4 D2
11,R4 E1
11,R4 E2
11,R4 F1
11,R4 F2
11,R4 G1
11,R4 G2
11,R4 H1
11,R4 H2
11,R4 I1
11,R4 I2
11,R4 J1
11,R4 J2
11,R4 K1
11,R4 K2
11,R5 G1
11,R5 G2
11,R5 G3
11,R6 G1
11,R6 G2
11,R6 G3
11,R7 G1
11,R7 G2
11,R7 G3
11,R8 G1
11,R8 G2
11,R8 G3
11,Finals
12,T1 G1
12,T1 G2
12,T1 G3
12,T1 G4
12,T1 G5
12,T1 G6
12,T1 G7
12,T1 G8
12,T1 G9
12,T1 G10
12,T1 G11
12,T1 G12
12,T1 G13
12,T1 G14
12,T1 G15
12,T1 G16
12,T1 G17
12,T1 G18
12,T1 G19
12,T1 G20
12,T1 G21
12,T1 G22
12,T1 G23
12,T1 G24
12,T1 G25
12,T1 G26
12,T1 G27
12,T1 G28
12,T1 G29
12,T1 G30
12,T1 G31
12,T1 G32
12,T1 G33
12,T1 G34
12,T1 G35
12,T1 G36
12,T1 G37
12,T1 G38
12,T1 G39
12,T1 G40
12,T1 G41
12,T1 G42
12,T1 G43
12,T1 G44
12,T1 G45
12,T1 G46
12,T1 G47
12,T1 G48
12,T1 G49
12,T1 G50
12,T1 G51
12,T1 G52
12,T1 G53
12,T1 G54
12,T1 G55
12,T1 G56
12,T1 G57
12,T1 G58
12,T1 G59
12,T1 G60
12,T1 G61
12,T1 G62
12,T1 G63
12,T1 G64
12,T1 G65
12,T1 G66
12,T1 G67
12,T1 G68
12,T1 G69
12,T1 G70
12,T1 G71
12,T1 G72
12,T1 G73
12,T1 G74
12,T1 G75
12,T1 G76
12,T1 G77
12,T1 G78
12,T1 G79
12,T1 G80
12,T1 G81
12,T1 G82
12,T1 G83
12,T1 G84
12,T2 G1
12,T2 G2
12,T2 G3
12,T2 G4
12,T2 G5
12,T2 G6
12,T2 G7
12,T2 G8
12,T2 G9
12,T2 G10
12,T2 G11
12,T2 G12
12,T2 G13
12,T2 G14
12,T2 G15
12,T2 G16
12,T2 G17
12,T2 G18
12,T2 G19
12,T2 G20
12,T2 G21
12,T2 G22
12,T2 G23
12,T2 G24
12,T2 G25
12,T2 G26
12,T2 G27
12,T2 G28
12,T2 G29
12,T2 G30
12,T2 G31
12,T2 G32
12,T2 G33
12,T2 G34
12,T2 G35
12,T2 G36
12,T2 G37
12,T2 G38
12,T2 G39
12,T2 G40
12,T3 G1
12,T3 G2
12,T3 G3
12,T3 G4
12,T3 G5
12,T3 G6
12,T3 G7
12,T3 G8
12,T3 G9
12,T3 G10
12,T3 G11
12,T3 G12
12,T3 G13
12,T3 G14
12,T3 G15
12,T3 G16
12,T3 G17
12,T3 G18
12,T3 G19
12,T3 G20
12,T3 G21
12,T3 G22
12,T3 G23
12,T3 G24
12,T3 G25
12,T3 G26
12,T3 G27
12,T3 G28
12,T3 G29
12,T3 G30
12,T3 G31
12,T3 G32
12,T3 G33
12,T3 G34
12,T3 G35
12,T3 G36
12,T3 G37
12,T3 G38
12,T3 G39
12,T3 G40
12,T4 G1
12,T4 G2
12,T4 G3
12,T4 G4
12,T4 G5
12,T4 G6
12,T4 G7
12,T4 G8
12,T4 G9
12,T4 G10
12,T4 G11
12,T4 G12
12,T4 G13
12,T4 G14
12,T4 G15
12,T4 G16
12,T4 G17
12,T4 G18
12,T4 G19
12,T4 G20
12,T4 G21
12,T4 G22
12,T4 G23
12,T4 G24
12,T4 G25
12,T4 G26
12,T4 G27
12,T4 G28
12,T4 G29
12,T4 G30
12,T4 G31
12,T4 G32
12,T4 G33
12,T4 G34
12,T4 G35
12,T4 G36
12,T4 G37
12,T4 G38
12,T4 G39
12,T4 G40
13,R1 A
13,R1 B
13,R1 C
13,R1 D
13,R1 E
13,R2 A
13,R2 B
13,R2 C
13,R2 D
13,R2 E
13,R3 A
13,R3 B
13,R3 C
13,R3 D
13,R3 E
13,Elim A
13,Elim B
13,Elim C
13,Elim D
13,Semi A
13,Semi B
13,Finals
14,R1 T1
14,R1 T2
14,R1 T3
14,R1 T4
14,R2 T1
14,R2 T2
14,R2 T3
14,R2 T4
14,R3 T1
14,R3 T2
14,R3 T3
14,R3 T4
14,R4 T1
14,R4 T2
14,R4 T3
14,R4 T4
14,R5 T1
14,R5 T2
14,R5 T3
14,R5 T4
14,R6 T1
14,R6 T2
14,R6 T3
14,R6 T4
14,Finals 1
14,Finals 2
14,Finals 3
15,A1
15,A2
15,A3
15,B1
15,B2
15,B3
15,C1
15,C2
15,C3
15,D1
15,D2
15,D3
15,E1
15,E2
15,E3
15,F1
15,F2
15,F3
15,G1
15,G2
15,G3
15,H1
15,H2
15,H3
15,I1
15,I2
15,I3
15,J1
15,J2
15,J3
15,K1
15,K2
15,K3
15,L1
15,L2
15,L3
15,M1
15,M2
15,M3
15,N1
15,N2
15,N3
15,O1
15,O2
15,O3
15,P1
15,P2
15,P3
15,Q1
15,R1
15,R2
15,R3
15,Semi A1
15,Semi A2
15,Semi A3
15,Semi B1
15,Semi B2
15,Semi C1
15,Semi C2
15,Semi C3
15,Finals 1
15,Finals 2
15,Finals 3
16,T1 G1
16,T1 G2
16,T1 G3
16,T1 G4
16,T1 G5
16,T1 G6
16,T1 G7
16,T1 G8
16,T1 G9
16,T1 G10
16,T1 G11
16,T1 G12
16,T1 G13
16,T1 G14
16,T1 G15
16,T1 G16
16,T1 G17
16,T1 G18
16,T1 G19
16,T1 G20
16,T1 G21
16,T1 G22
16,T1 G23
16,T1 G24
16,T1 G25
16,T1 G26
16,T1 G27
16,T1 G28
16,T1 G29
16,T1 G30
16,T1 G31
16,T1 G32
16,T1 G33
16,T1 G34
16,T1 G35
16,T1 G36
16,T1 G37
16,T1 G38
16,T1 G39
16,T1 G40
16,T1 G41
16,T1 G42
16,T1 G43
16,T1 G44
16,T1 G45
16,T1 G46
16,T1 G47
16,T1 G48
16,T1 G49
16,T1 G50
16,T1 G51
16,T1 G52
16,T1 G53
16,T1 G54
16,T1 G55
16,T1 G56
16,T1 G57
16,T1 G58
16,T1 G59
16,T1 G60
16,T1 G61
16,T1 G62
16,T1 G63
16,T1 G64
16,T1 G65
16,T1 G66
16,T1 G67
16,T1 G68
16,T1 G69
16,T1 G70
16,T1 G71
16,T1 G72
16,T1 G73
16,T1 G74
16,T1 G75
16,T1 G76
16,T1 G77
16,T1 G78
16,T1 G79
16,T1 G80
16,T1 G81
16,T1 G82
16,T1 G83
16,T1 G84
16,T2 G1
16,T2 G2
16,T2 G3
16,T2 G4
16,T2 G5
16,T2 G6
16,T2 G7
16,T2 G8
16,T2 G9
16,T2 G10
16,T2 G11
16,T2 G12
16,T2 G13
16,T2 G14
16,T2 G15
16,T2 G16
16,T3 G1
16,T3 G2
16,T3 G3
16,T3 G4
16,T3 G5
16,T3 G6
16,T3 G7
16,T3 G8
16,T3 G9
16,T3 G10
16,T3 G11
16,T3 G12
16,T3 G13
16,T3 G14
16,T3 G15
16,T3 G16
16,T3 G17
16,T3 G18
16,T3 G19
16,T3 G20
16,T3 G21
16,T3 G22
16,T3 G23
16,T3 G24
16,T3 G25
16,T3 G26
16,T3 G27
16,T3 G28
16,T3 G29
16,T3 G30
16,T3 G31
16,T3 G32
16,T3 G33
16,T3 G34
16,T3 G35
16,T3 G36
16,T3 G37
16,T3 G38
16,T3 G39
16,T3 G40
16,T3 G41
16,T3 G42
17,R1 T1
17,R1 T2
17,R1 T3
17,R1 T4
17,R2 T1
17,R2 T2
17,R2 T3
17,R2 T4
17,R3 T1
17,R3 T2
17,R3 T3
17,R3 T4
17,R4 T1
17,R4 T2
17,R4 T3
17,R4 T4
17,R5 T1
17,R5 T2
17,R5 T3
17,R5 T4
17,R6 T1
17,R6 T2
17,R6 T3
17,R6 T4
17,R7 T1
17,R7 T2
17,Finals 1
17,Finals 2
17,Finals 3
19,R1 A1
19,R1 A2
19,R1 B1
19,R1 B2
19,R1 C1
19,R1 C2
19,R1 D1
19,R1 D2
19,R1 E1
19,R1 E2
19,R1 F1
19,R1 F2
19,R1 G1
19,R1 G2
19,R2 A1
19,R2 A2
19,R2 B1
19,R2 B2
19,R2 C1
19,R2 C2
19,R2 D1
19,R2 D2
19,R2 E1
19,R2 E2
19,R2 F1
19,R2 F2
19,R3 A1
19,R3 A2
19,R3 B1
19,R3 B2
19,R3 C1
19,R3 C2
19,R3 D1
19,R3 D2
19,R3 E1
19,R3 E2
19,R3 F1
19,R3 F2
19,R4 A1
19,R4 A2
19,R4 B1
19,R4 B2
19,R4 C1
19,R4 C2
19,R4 D1
19,R4 D2
19,R4 E1
19,R4 E2
19,R4 F1
19,R4 F2
19,Semi A1
19,Semi A2
19,Semi B1
19,Semi B2
19,Semi C1
19,Semi C2
19,Play-in
19,Finals
20,R1 H1
20,R1 H2
20,R1 I1
20,R1 I2
20,R1 J1
20,R1 J2
20,R1 Z1
20,R1 Z2
20,R2 H1
20,R2 H2
20,R2 I1
20,R2 I2
20,R2 J1
20,R2 J2
20,R2 Z1
20,R2 Z2
20,R3 H1
20,R3 H2
20,R3 J1
20,R3 J2
20,R3 Z1
20,R3 Z2
20,R4 H1
20,R4 H2
20,R4 I1
20,R4 I2
20,R4 J1
20,R4 J2
20,Finals
18,T1 G1
18,T1 G2
18,T1 G3
18,T1 G4
18,T1 G5
18,T1 G6
18,T1 G7
18,T1 G8
18,T1 G9
18,T1 G10
18,T1 G11
18,T1 G12
18,T1 G13
18,T1 G14
18,T1 G15
18,T1 G16
18,T1 G17
18,T1 G18
18,T1 G19
18,T1 G20
18,T1 G21
18,T1 G22
18,T1 G23
18,T1 G24
18,T1 G25
18,T1 G26
18,T1 G27
18,T1 G28
18,T1 G29
18,T1 G30
18,T1 G31
18,T1 G32
18,T1 G33
18,T1 G34
18,T1 G35
18,T1 G36
18,T1 G37
18,T1 G38
18,T1 G39
18,T1 G40
18,T1 G41
18,T1 G42
18,T1 G43
18,T1 G44
18,T1 G45
18,T1 G46
18,T1 G47
18,T1 G48
18,T1 G49
18,T1 G50
18,T1 G51
18,T1 G52
18,T1 G53
18,T1 G54
18,T1 G55
18,T1 G56
18,T1 G57
18,T1 G58
18,T1 G59
18,T1 G60
18,T1 G61
18,T1 G62
18,T1 G63
18,T1 G64
18,T1 G65
18,T1 G66
18,T1 G67
18,T1 G68
18,T1 G69
18,T1 G70
18,T1 G71
18,T1 G72
18,T1 G73
18,T1 G74
18,T1 G75
18,T1 G76
18,T1 G77
18,T1 G78
18,T1 G79
18,T1 G80
18,T1 G81
18,T1 G82
18,T1 G83
18,T1 G84
18,T2 G1
18,T2 G2
18,T2 G3
18,T2 G4
18,T2 G5
18,T2 G6
18,T2 G7
18,T2 G8
18,T2 G9
18,T2 G10
18,T2 G11
18,T2 G12
18,T2 G13
18,T2 G14
18,T2 G15
18,T2 G16
18,T2 G17
18,T2 G18
18,T2 G19
18,T2 G20
18,T2 G21
18,T2 G22
18,T2 G23
18,T2 G24
18,T2 G25
18,T2 G26
18,T2 G27
18,T2 G28
18,T2 G29
18,T2 G30
18,T2 G31
18,T2 G32
18,T2 G33
18,T2 G34
18,T2 G35
18,T2 G36
18,T2 G37
18,T2 G38
18,T2 G39
18,T2 G40
18,T2 G41
18,T2 G42
18,T2 G43
18,T2 G44
18,T2 G45
18,T2 G46
18,T2 G47
18,T2 G48
18,T2 G49
18,T2 G50
18,T3 G1
18,T3 G2
18,T3 G3
18,T3 G4
18,T3 G5
18,T3 G6
18,T3 G7
18,T3 G8
18,T3 G9
18,T3 G10
18,T3 G11
18,T3 G12
18,T3 G13
18,T3 G14
18,T3 G15
18,T3 G16
18,T3 G17
18,T3 G18
18,T3 G19
18,T3 G20
18,T3 G21
18,T3 G22
18,T3 G23
18,T3 G24
18,T3 G25
18,T3 G26
18,T3 G27
18,T3 G28
18,T3 G29
18,T3 G30
18,T3 G31
18,T3 G32
18,T3 G33
18,T3 G34
18,T3 G35
18,T3 G36
18,T3 G37
18,T3 G38
18,T3 G39
18,T3 G40
18,T3 G41
18,T3 G42
18,T3 G43
18,T3 G44
18,T3 G45
18,T3 G46
18,T3 G47
18,T3 G48
18,T3 G49
18,T3 G50
18,T3 G51
18,T3 G52
18,T3 G53
18,T3 G54
18,T3 G55
18,T3 G56
18,T3 G57
18,T3 G58
18,T3 G59
18,T3 G60
18,T3 G61
18,T3 G62
21,T1 G1
21,T1 G2
21,T1 G3
21,T1 G4
21,T1 G5
21,T1 G6
21,T1 G7
21,T1 G8
21,T1 G9
21,T1 G10
21,T1 G11
21,T1 G12
21,T1 G13
21,T1 G14
21,T1 G15
21,T1 G16
21,T1 G17
21,T1 G18
21,T1 G19
21,T1 G20
21,T1 G21
21,T1 G22
21,T1 G23
21,T1 G24
21,T1 G25
21,T1 G26
21,T1 G27
21,T1 G28
21,T1 G29
21,T1 G30
21,T1 G31
21,T1 G32
21,T1 G33
21,T1 G34
21,T1 G35
21,T1 G36
21,T1 G37
21,T1 G38
21,T1 G39
21,T1 G40
21,T1 G41
21,T1 G42
21,T1 G43
21,T1 G44
21,T1 G45
21,T1 G46
21,T1 G47
21,T1 G48
21,T1 G49
21,T1 G50
21,T1 G51
21,T1 G52
21,T1 G53
21,T1 G54
21,T1 G55
21,T1 G56
21,T1 G57
21,T1 G58
21,T1 G59
21,T1 G60
21,T1 G61
21,T1 G62
21,T1 G63
21,T1 G64
21,T1 G65
